Track URI;Track;Artist;Release year
spotify:track:0kc6sK1HPC5fqj2dQsEraZ;La Última Noche;Diego Torres;1997
spotify:track:1DmlUpnkg4N1VWquSoffF1;Y, ¿Si fuera ella?;Alejandro Sanz;1999
spotify:track:4gTxKZH5RERMhX9H8EnPAX;Abrázame Muy Fuerte;Marc Anthony;2015
spotify:track:4rB9Ji4iw2CKDjuaU3djPd;Volver a Comenzar;Marc Anthony;2013
spotify:track:6ngLct6z0pCqJcevM11HDH;A Quién Quiero Mentirle;Marc Anthony;2013
spotify:track:1rjHJSGgt10GAtgLrDtHTM;Private Emotion (feat. Meja);Ricky Martin;2020
spotify:track:64cQ79mesIAszcHRGS6px7;Un Zombie A La Intemperie;Alejandro Sanz;2019
spotify:track:5yjA8BscTvoceGWY2P1I8F;Come with Me - Spanglish Version;Ricky Martin;2019
spotify:track:47TyfLrGhYHHyyQWk64d0M;Flor Pálida;Marc Anthony;2017
spotify:track:4LdtAljggvH4qzlxNxo559;Girasoles;Luis Fonsi;2001
spotify:track:4v4pC1y5UI5oHdcluJIJs8;Apaga La Luz;Luis Fonsi;2008
spotify:track:0BOm90PDLRJpTSqqd6z52E;Sola;Luis Fonsi;2010
spotify:track:5CtI0qwDJkDQGwXD1H1cLb;Despacito - Remix;Luis Fonsi;2013
spotify:track:32lm3769IRfcnrQV11LO4E;Bailando - Spanish Version;Enrique Iglesias;2014
spotify:track:59FYUvlodY7NCZGHk7yJt1;Escape;Enrique Iglesias;2014
spotify:track:2iIZl5EIhmoxX7j3xXv467;¿Dónde Están Corazón?;Enrique Iglesias;1999
spotify:track:35Vle8dEPRW22MGQsqj0vq;Tonight (I'm Fuckin' You);Enrique Iglesias;2002
spotify:track:79gkHjNTSyGPXEyGkNQ8zH;Cuando Me Enamoro;Enrique Iglesias;1999
spotify:track:436EpHvGoKO3DgaSeD9lW8;No Me Digas Que No;Enrique Iglesias;1995
spotify:track:3FifroUyur8j5mTM78WuXQ;Ay Haiti!;Alejandro Sanz;2010
spotify:track:3b1IQflSLrgzYQPGFzI9cl;Es Por Ti;Juanes;2002
spotify:track:4QLPUyOsRUTnoW8h7HFbZX;Mala Gente;Juanes;2002
spotify:track:18sWPBeCwhEDv87OnY43gV;Una Flor;Juanes;2014
spotify:track:1NC5LcAmP5gJcLWVl5tJvv;La Flaca (feat. Juanes);Santana;2014
spotify:track:1sJFu2pvYJhtEOo9oVe1TZ;Me Enamoré de Ti;Chayanne;2010
spotify:track:4lerOTNr2tFWJCAmmhymhi;No Me Doy Por Vencido;Luis Fonsi;2008
spotify:track:4AkrkORGjiz7c90mwxAvdW;Heroe;Enrique Iglesias;2001
spotify:track:2z0z5ddJS3K7qvhp4PH0Aa;Dímelo;Enrique Iglesias;2007
